10002,105,HENRY                         ,ST        ,                    ,,                    
10002,237,HENRY                         ,ST        ,                    ,,                    
10002,217,HENRY                         ,ST        ,                    ,,                    
10002,91,HENRY                         ,ST        ,                    ,,                    
10002,31,HENRY                         ,ST        ,                    ,,                    
10002,43,HENRY                         ,ST        ,                    ,,                    
10002,195,HENRY                         ,ST        ,                    ,,                    
10002,123,HENRY                         ,ST        ,                    ,,                    
10002,243,HENRY                         ,ST        ,                    ,,                    
10002,27,HENRY                         ,ST        ,                    ,,                    
10002,19 TO 21            ,HENRY                         ,ST        ,                    ,,                    
10002,168,HENRY                         ,ST        ,                    ,,                    
10002,35,HENRY                         ,ST        ,                    ,,                    
10002,41,HENRY                         ,ST        ,                    ,,                    
10002,56,HENRY                         ,ST        ,                    ,,                    
10002,93,HENRY                         ,ST        ,                    ,,                    
10002,127,HENRY                         ,ST        ,                    ,,                    
10002,111,HENRY                         ,ST        ,                    ,,                    
10002,23,HENRY                         ,ST        ,                    ,,                    
10002,164,HENRY                         ,ST        ,                    ,,                    
10002,150,HENRY                         ,ST        ,                    ,,                    
10002,117,HENRY                         ,ST        ,                    ,,                    
10002,125,HENRY                         ,ST        ,                    ,,                    
10002,45,HENRY                         ,ST        ,                    ,,                    
10002,162,HENRY                         ,ST        ,                    ,,                    
10002,26,HENRY                         ,ST        ,                    ,,                    
10002,172,HENRY                         ,ST        ,                    ,,                    
10002,170,HENRY                         ,ST        ,                    ,,                    
10002,33,HENRY                         ,ST        ,                    ,,                    
10002,213,HENRY                         ,ST        ,                    ,,                    
10002,221,HENRY                         ,ST        ,                    ,,                    
10002,191,HENRY                         ,ST        ,                    ,,                    
10002,160,HENRY                         ,ST        ,                    ,,                    
10002,211,HENRY                         ,ST        ,5-STORY APARTMENT   ,,                    
10002,121,HENRY                         ,ST        ,,,                    
10002,119,HENRY                         ,ST        ,,,                    
10002,173 TO 177          ,HENRY                         ,ST        ,GARDEN COMPLEX      ,,                    
10002,52,HENRY                         ,ST        ,J-51                ,,                    
